name
Школа
Гимназия
Лицей
Муниципальное общеобразовательное учреждение
Средняя общеобразовательная школа
Муниципальное бюджетное общеобразовательное учреждение
Муниципальное бюджетное образовательное учреждение
Общеобразовательные казенные учреждения
Учреждения дополнительного образования
Специальные учебно-воспитательные общеобразовательные учреждения для обучающихся с девиантным (общественно опасным) поведением
Специальные учебно-воспитательные профессиональные образовательные учреждения для обучающихся с девиантным (общественно опасным) поведением
Профессиональные образовательные учреждения
Муниципальное казенное общеобразовательное учреждение
